Date;Price;Open;High;Low;Vol.;Change %
11/10/2019;1,475.40;1,466.70;1,482.20;1,453.10;259.20K;0.38%
11/17/2019;1,470.50;1,475.10;1,486.00;1,463.30;284.33K;-0.33%
11/24/2019;1,478.10;1,467.50;1,478.30;1,456.60;432.65K;0.52%
12/1/2019;1,470.70;1,474.10;1,495.20;1,465.80;59.82K;-0.50%
12/8/2019;1,486.90;1,469.00;1,496.70;1,469.00;38.54K;1.10%
12/15/2019;1,486.60;1,485.80;1,491.30;1,480.40;26.36K;-0.02%
12/22/2019;1,524.10;1,487.20;1,525.60;1,487.20;26.07K;2.52%
12/29/2019;1,558.70;1,521.90;1,562.20;1,519.60;64.59K;2.27%
1/5/2020;1,566.40;1,572.20;1,619.60;1,547.40;233.32K;0.49%
1/12/2020;1,566.50;1,569.50;1,569.50;1,542.80;241.27K;0.01%
01/19/2020;1,578.20;1,564.20;1,581.60;1,552.10;338.76K;0.75%
01/26/2020;1,593.80;1,586.10;1,601.20;1,567.90;591.82K;0.99%
2/2/2020;1,579.20;1,603.60;1,603.90;1,556.90;30.44K;-0.92%
2/9/2020;1,591.90;1,581.60;1,593.60;1,570.50;57.20K;0.80%
02/16/2020;1,654.60;1,590.40;1,657.40;1,587.50;59.50K;3.94%
02/23/2020;1,571.80;1,660.30;1,697.00;1,569.10;172.56K;-5.00%
3/1/2020;1,676.10;1,598.40;1,696.50;1,581.20;185.35K;6.64%
3/8/2020;1,519.50;1,694.50;1,707.80;1,507.00;362.85K;-9.34%
03/15/2020;1,488.10;1,564.80;1,576.00;1,453.00;331.45K;-2.07%
03/22/2020;1,654.10;1,508.40;1,698.00;1,489.40;687.00K;11.16%
03/29/2020;1,645.50;1,663.10;1,674.00;1,580.00;29.85K;-0.52%
4/5/2020;1,752.10;1,648.10;1,753.50;1,638.20;31.41K;6.48%
4/12/2020;1,700.10;1,739.30;1,789.00;1,693.10;39.40K;-2.97%
04/19/2020;1,739.70;1,694.50;1,767.40;1,668.40;43.80K;2.33%
04/26/2020;1,707.20;1,749.20;1,750.00;1,683.30;44.92K;-1.87%
5/3/2020;1,726.60;1,718.10;1,745.10;1,691.00;136.99K;1.14%
5/10/2020;1,768.00;1,718.10;1,772.80;1,705.00;180.85K;2.40%
05/17/2020;1,753.50;1,769.40;1,787.50;1,731.20;209.36K;-0.82%
05/24/2020;1,760.70;1,753.00;1,763.30;1,701.60;317.47K;0.41%
05/31/2020;1,694.10;1,766.50;1,768.50;1,683.80;12.29K;-3.78%
6/7/2020;1,746.20;1,694.70;1,763.70;1,693.80;8.40K;3.08%
06/14/2020;1,761.00;1,749.70;1,767.00;1,715.30;7.30K;0.85%
06/21/2020;1,789.80;1,773.00;1,803.70;1,763.10;11.21K;1.64%
06/28/2020;1,801.00;1,798.10;1,816.80;1,777.50;13.52K;0.63%
